"Table 321.20. Associate's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected  
              years, 1976-77 through 2016-17",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred to U.S. citizens and permanent residents,,,,,,
,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Total,,,,,,,,,,,,,,,
1976-77\1\ ............,"404,956","342,290","33,159","16,636","7,044","2,498",---,"3,329",100.0,85.2,8.3,4.1,1.8,0.6,---
1980-81\2\ ............,"410,174","339,167","35,330","17,800","8,650","2,584",---,"6,643",100.0,84.0,8.8,4.4,2.1,0.6,---
1990-91 ............,"481,720","391,264","38,835","25,540","15,257","3,871",---,"6,953",100.0,82.4,8.2,5.4,3.2,0.8,---
1999-2000 ............,"564,933","408,822","60,208","51,563","27,778","6,474",---,"10,088",100.0,73.7,10.9,9.3,5.0,1.2,---
2000-01 ............,"578,865","411,075","63,855","57,288","28,463","6,623",---,"11,561",100.0,72.5,11.3,10.1,5.0,1.2,---
,,,,,,,,,,,,,,,
2002-03 ............,"634,016","438,261","75,609","66,673","32,629","7,461",---,"13,383",100.0,70.6,12.2,10.7,5.3,1.2,---
2003-04 ............,"665,301","456,047","81,183","72,270","33,149","8,119",---,"14,533",100.0,70.1,12.5,11.1,5.1,1.2,---
2004-05 ............,"696,660","475,513","86,402","78,557","33,669","8,435",---,"14,084",100.0,69.7,12.7,11.5,4.9,1.2,---
2005-06 ............,"713,315","485,481","89,813","80,870","35,215","8,555",---,"13,381",100.0,69.4,12.8,11.6,5.0,1.2,---
2006-07 ............,"727,616","491,333","91,440","85,275","37,243","8,579",---,"13,746",100.0,68.8,12.8,11.9,5.2,1.2,---
,,,,,,,,,,,,,,,
2007-08 ............,"750,166","501,467","95,566","91,289","38,848","8,827",---,"14,169",100.0,68.1,13.0,12.4,5.3,1.2,---
2008-09 ............,"787,243","521,834","101,631","98,408","41,364","8,823",---,"15,183",100.0,67.6,13.2,12.7,5.4,1.1,---
2009-10 ............,"848,856","552,376","113,867","112,403","44,026","10,101",---,"16,083",100.0,66.3,13.7,13.5,5.3,1.2,---
2010-11 ............,"943,506","604,745","129,044","126,297","45,489","10,180","11,126","16,625",100.0,65.2,13.9,13.6,4.9,1.1,1.2
