"Table 320.20. Certificates below the associate's degree level conferred by postsecondary institutions, by race/ethnicity and
              sex of student: 1998-99 through 2016-17",,,,,,,,,,,,,,,
Year and sex,"Number of certificates conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of certificates conferred to U.S citizens and permanent residents ,,,,,,
,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Total,,,,,,,,,,,,,,,
1998-99 ............,"555,883","345,359","92,800","76,833","27,920","7,510",---,"5,461",100.0,62.7,16.9,14.0,5.1,1.4,---
1999-2000 ............,"558,129","337,546","97,329","81,132","29,361","6,966",---,"5,795",100.0,61.1,17.6,14.7,5.3,1.3,---
2000-01 ............,"552,503","333,478","99,397","78,528","28,123","6,598",---,"6,379",100.0,61.1,18.2,14.4,5.1,1.2,---
2001-02 ............,"584,248","352,559","106,647","83,950","27,490","7,430",---,"6,172",100.0,61.0,18.4,14.5,4.8,1.3,---
2002-03 ............,"646,425","382,289","120,582","95,499","32,981","8,117",---,"6,957",100.0,59.8,18.9,14.9,5.2,1.3,---
,,,,,,,,,,,,,,,
2003-04 ............,"687,787","402,989","129,891","107,216","32,819","8,375",---,"6,497",100.0,59.2,19.1,15.7,4.8,1.2,---
2004-05 ............,"710,873","415,670","133,601","114,089","32,783","8,150",---,"6,580",100.0,59.0,19.0,16.2,4.7,1.2,---
2005-06 ............,"714,790","411,919","135,387","118,728","33,848","8,393",---,"6,515",100.0,58.2,19.1,16.8,4.8,1.2,---
2006-07 ............,"728,315","420,199","139,796","119,375","32,963","8,781",---,"7,201",100.0,58.3,19.4,16.6,4.6,1.2,---
2007-08 ............,"748,354","429,670","144,982","122,406","35,791","8,548",---,"6,957",100.0,58.0,19.6,16.5,4.8,1.2,---
,,,,,,,,,,,,,,,
2008-09 .........…,"804,620","450,562","161,487","138,301","37,941","9,485",---,"6,844",100.0,56.5,20.2,17.3,4.8,1.2,---
2009-10 .........…,"935,719","511,186","191,657","172,015","41,407","12,003",---,"7,451",100.0,55.1,20.6,18.5,4.5,1.3,---
2010-11 .........…,"1,030,477","557,595","207,693","187,433","44,294","11,204","14,999","7,259",100.0,54.5,20.3,18.3,4.3,1.1,1.5
2011-12 ............,"989,061","535,621","190,253","187,014","43,048","10,638","14,140","8,347",100.0,54.6,19.4,19.1,4.4,1.1,1.4
