"Table 324.20. Doctor's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected years,
              1976-77 through 2016-17",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred\1\ to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred\1\ to U.S. citizens and permanent residents,,,,,,
,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Total,,,,,,,,,,,,,,,
1976-77\2\ ............,"91,218","79,932","3,575","1,533","1,674",240,---,"4,264",100.0,91.9,4.1,1.8,1.9,0.3,---
1980-81\3\ ..............,"97,281","84,200","3,893","1,924","2,267",312,---,"4,685",100.0,90.9,4.2,2.1,2.4,0.3,---
1990-91 ..............,"105,547","81,791","4,429","3,210","5,120",356,---,"10,641",100.0,86.2,4.7,3.4,5.4,0.4,---
1999-2000 ..............,"118,736","82,984","7,078","5,042","10,682",708,---,"12,242",100.0,77.9,6.6,4.7,10.0,0.7,---
2000-01 ........,"119,585","82,321","7,035","5,204","11,587",705,---,"12,733",100.0,77.0,6.6,4.9,10.8,0.7,---
,,,,,,,,,,,,,,,
2002-03 ........,"121,579","82,549","7,537","5,503","12,008",759,---,"13,223",100.0,76.2,7.0,5.1,11.1,0.7,---
2003-04 ........,"126,087","84,695","8,089","5,795","12,371",771,---,"14,366",100.0,75.8,7.2,5.2,11.1,0.7,---
2004-05 ........,"134,387","89,763","8,527","6,115","13,176",788,---,"16,018",100.0,75.8,7.2,5.2,11.1,0.7,---
2005-06 ........,"138,056","91,050","8,523","6,202","13,686",929,---,"17,666",100.0,75.6,7.1,5.2,11.4,0.8,---
2006-07 ........,"144,694","94,225","9,371","6,576","14,727",917,---,"18,878",100.0,74.9,7.4,5.2,11.7,0.7,---
,,,,,,,,,,,,,,,
2007-08 ........,"149,190","97,701","9,451","6,933","15,170",932,---,"19,003",100.0,75.0,7.3,5.3,11.7,0.7,---
2008-09 ........,"154,564","101,400","10,188","7,497","15,840",978,---,"18,661",100.0,74.6,7.5,5.5,11.7,0.7,---
2009-10 ........,"158,590","104,419","10,413","8,085","16,560",952,---,"18,161",100.0,74.4,7.4,5.8,11.8,0.7,---
2010-11 ........,"163,827","105,990","10,934","8,662","17,078",947,"1,251","18,965",100.0,73.2,7.5,6.0,11.8,0.7,0.9
