"Table 323.20. Master's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected 
              years, 1976-77 through 2016-17     ",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred to U.S. citizens and permanent residents,,,,,,
,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/ Pacific Islander,American Indian/ Alaska Native,Two or more races
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Total,,,,,,,,,,,,,,,
1976-77\1\ ..............,"322,463","271,402","21,252","6,136","5,127","1,018",---,"17,528",100.0,89.0,7.0,2.0,1.7,0.3,---
1980-81\2\ ..............,"301,081","247,475","17,436","6,534","6,348","1,044",---,"22,244",100.0,88.8,6.3,2.3,2.3,0.4,---
1990-91 ............,"342,863","265,927","17,023","8,981","11,869","1,189",---,"37,874",100.0,87.2,5.6,2.9,3.9,0.4,---
1999-2000 ............,"463,185","324,990","36,606","19,379","23,523","2,263",---,"56,424",100.0,79.9,9.0,4.8,5.8,0.6,---
2000-01 ............,"473,502","324,211","38,853","21,661","24,544","2,496",---,"61,737",100.0,78.7,9.4,5.3,6.0,0.6,---
,,,,,,,,,,,,,,,
2002-03 ............,"518,699","346,003","45,150","25,200","27,492","2,886",---,"71,968",100.0,77.5,10.1,5.6,6.2,0.6,---
2003-04 ............,"564,272","373,448","51,402","29,806","31,202","3,206",---,"75,208",100.0,76.4,10.5,6.1,6.4,0.7,---
2004-05 ............,"580,151","383,246","55,330","31,639","33,042","3,310",---,"73,584",100.0,75.7,10.9,6.2,6.5,0.7,---
2005-06 ............,"599,862","397,519","59,822","32,578","34,302","3,519",---,"72,122",100.0,75.3,11.3,6.2,6.5,0.7,---
2006-07 ............,"610,703","403,623","63,439","34,962","36,420","3,590",---,"68,669",100.0,74.5,11.7,6.5,6.7,0.7,---
,,,,,,,,,,,,,,,
2007-08 ............,"630,844","413,348","65,912","36,899","37,743","3,775",---,"73,167",100.0,74.1,11.8,6.6,6.8,0.7,---
2008-09 ............,"662,082","427,713","70,772","39,567","40,510","3,777",---,"79,743",100.0,73.4,12.2,6.8,7.0,0.6,---
2009-10 ............,"693,313","445,158","76,472","43,603","42,520","3,965",---,"81,595",100.0,72.8,12.5,7.1,7.0,0.6,---
2010-11 ............,"730,922","462,922","80,742","46,823","43,482","3,946","6,597","86,410",100.0,71.8,12.5,7.3,6.7,0.6,1.0
